StateID,Avg. $/Kw,
AL,66.0,
AR,61.1,
AZ,65.1,
CA,153.4,
CO,81.5,
CT,153.5,
DC,107.1,
DE,80.4,
FL,66.0,
GA,61.0,
IA,78.9,
ID,51.6,
IL,157.8,
IN,58.2,
KS,62.7,
KY,61.9,
LA,53.6,
MA,103.0,
MD,65.7,
ME,144.1,
MI,133.5,
MN,48.5,
MO,71.5,
MS,48.8,
NC,53.9,
ND,90.2,
NH,132.5,
NJ,76.2,
NM,50.8,
NV,48.6,
NY,133.5,
OH,73.0,
OK,64.1,
OR,79.6,
PA,95.3,
RI,86.9,
SC,40.8,
SD,91.0,
TX,67.1,
VA,61.1,
VT,150.5,
WA,89.4,
WI,69.8,
WY,86.1,
MT,83.5,
UT,83.5,
TN,83.5,
WV,83.5,
NE,83.5,